Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Aetna NC Preferred,BCBS,Cash Discount,Cigna,Cigna Connect Network,Cigna SureFit,First Health,Humana Medicare Advantage,Liberty Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Nash General Hospital","Cervical spinal fusion without comorbid conditions (CC) or major comorbid conditions or complications (MCC). ","MS-DRG: 473","$61,299.41","$14,367.73","$52,748.97","$34,579.87","$17,560.81","$29,891.07","$27,045.51","$36,779.65","$0.00","$22,154.55","$22,564.83","$52,748.97","$17,067.40","$17,920.77","$42,785.26","$14,367.73","$0.00","$17,302.57","$17,447.60"
"Nash General Hospital","CESAREAN DELIVERY ONLY","MS-DRG: 788","$18,008.50","$4,919.93","$12,435.37","$8,152.07","$7,126.66","$7,046.71","$10,397.00","$10,805.10","$0.00","$5,222.83","$5,319.59","$12,435.37","$6,786.29","$7,152.62","$10,086.46","$4,919.93","$0.00","$6,969.34","$6,961.40"
"Nash General Hospital","Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications (MCC). ","MS-DRG: 470","$39,022.98","$12,100.48","$35,686.00","$23,394.15","$13,608.61","$20,222.06","$20,228.24","$23,413.79","$0.00","$14,988.11","$15,265.69","$35,686.00","$13,204.22","$13,873.28","$28,945.31","$12,100.48","$0.00","$13,344.28","$13,505.66"
"Nash General Hospital","NORMAL NEWBORN","MS-DRG: 795","$2,441.85","$800.28","$1,941.08","$1,272.48","$0.00","$1,099.94","$1,387.00","$1,465.11","$0.00","$815.24","$830.35","$1,941.08","$0.00","$0.00","$1,574.43","$800.28","$0.00","$0.00","$0.00"
"Nash General Hospital","OBSTETRICAL CARE,VAG DELIV ONLY","MS-DRG: 807","$14,875.35","$2,648.75","$14,943.11","$9,796.04","$5,422.53","$8,467.76","$4,990.00","$8,925.21","$0.00","$6,276.12","$6,392.36","$14,943.11","$5,092.59","$5,347.22","$12,120.52","$2,648.75","$0.00","$5,342.79","$5,201.59"
"Nash General Hospital","Spinal fusion except cervical without major comorbid conditions or complications (MCC) ","MS-DRG: 460","$93,754.64","$18,510.50","$68,442.52","$44,867.87","$27,036.90","$38,784.09","$41,871.46","$56,252.78","$0.00","$28,745.84","$29,278.20","$68,442.52","$26,167.53","$27,488.84","$55,514.48","$18,510.50","$0.00","$26,521.51","$26,761.53"
"Nash General Hospital","Uterine and adnexa procedures for non-malignancy without comorbid conditions (CC) or major comorbid conditions or complications (MCC) ","MS-DRG: 743","$28,160.18","$8,022.05","$23,888.71","$15,660.37","$8,505.72","$13,536.93","$12,055.60","$16,896.11","$0.00","$10,033.25","$10,219.07","$23,888.71","$8,189.86","$8,599.35","$19,376.39","$8,022.05","$0.00","$8,380.64","$8,369.76"
"Nash General Hospital","HC NSHH PRIVATE ROOM","","$1,040.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$624.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC NSHH PED PRIVATE ROOM","","$1,040.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$624.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC NSHH REHAB PRIVATE ROOM","","$1,412.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$847.20","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC NSHH SEMI-PRIVATE PSYCH ROOM","","$1,548.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$928.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC NSHH LEVEL1 NURSERY ROOM","","$914.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$548.40","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC NSHH LEVEL 2 NURSERY ROOM","","$1,178.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$706.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC NSHH LEVEL 3 (INTERMEDIATE) NURSERY ROOM","","$1,851.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,110.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC NSHH ICU ROOM","","$2,882.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,729.20","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC NSHH INTERMEDIATE CARE ROOM","","$1,473.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$883.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC NSHH OBSERVATION CARE DIRECT ADMISSION","G0379","$557.00","$167.66","$557.00","$323.06","$486.69","$278.50","$216.67","$334.20","$557.00","$167.66","$171.00","$501.30","$477.15","$0.00","$440.03","$417.75","$557.00","$479.53","$489.07"
"Nash General Hospital","HC NSHH OBSERVATION PER HOUR","G0378","$57.00","$17.16","$57.00","$33.06","$0.00","$28.50","$22.17","$34.20","$57.00","$17.16","$17.50","$51.30","$0.00","$0.00","$45.03","$0.00","$57.00","$0.00","$0.00"
"Nash General Hospital","HC NSHH OBSERVATION PER HOUR","G0378","$54.00","$17.16","$57.00","$33.06","$0.00","$28.50","$22.17","$32.40","$57.00","$17.16","$17.50","$51.30","$0.00","$0.00","$45.03","$0.00","$57.00","$0.00","$0.00"
"Nash General Hospital","HC DISPOSABLE NEBULIZER SUPPLY","","$31.00","$9.33","$27.90","$17.98","$0.00","$15.50","$12.87","$18.60","$15.72","$9.33","$9.52","$27.90","$0.00","$0.00","$24.49","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC HIGH FLOW OXYGEN THERAPY","","$460.00","$138.46","$414.00","$266.80","$0.00","$230.00","$190.95","$276.00","$233.22","$138.46","$141.22","$414.00","$0.00","$0.00","$363.40","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC OXYGEN THERAPY PER DAY","","$88.00","$26.49","$79.20","$51.04","$0.00","$44.00","$36.53","$52.80","$44.62","$26.49","$27.02","$79.20","$0.00","$0.00","$69.52","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC AMBULATORY BOOT","L3260","$105.00","$22.05","$94.50","$60.90","$22.05","$52.50","$43.59","$63.00","$53.24","$31.61","$32.24","$94.50","$0.00","$0.00","$82.95","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC KNEE IMMOBILIZER LONG PREFAB","L1830","$147.00","$30.87","$132.30","$85.26","$30.87","$73.50","$61.02","$88.20","$74.53","$44.25","$45.13","$132.30","$0.00","$0.00","$116.13","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC SLING COMFORT ARM MULTISI","A4565","$17.00","$5.12","$15.30","$9.86","$0.00","$8.50","$7.06","$10.20","$8.62","$5.12","$5.22","$15.30","$0.00","$0.00","$13.43","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC SPLINT FINGER FLEXION","L3925","$305.00","$64.05","$274.50","$176.90","$64.05","$152.50","$126.61","$183.00","$154.64","$91.81","$93.64","$274.50","$0.00","$0.00","$240.95","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DRESSING STICK","","$45.00","$13.55","$40.50","$26.10","$0.00","$22.50","$18.68","$27.00","$22.82","$13.55","$13.82","$40.50","$0.00","$0.00","$35.55","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC GLOVE ISOTONER","","$30.00","$9.03","$27.00","$17.40","$0.00","$15.00","$12.45","$18.00","$15.21","$9.03","$9.21","$27.00","$0.00","$0.00","$23.70","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC HIP KIT (OT)","","$175.00","$52.68","$157.50","$101.50","$0.00","$87.50","$72.64","$105.00","$88.73","$52.68","$53.73","$157.50","$0.00","$0.00","$138.25","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC LEG LIFTER","","$58.00","$17.46","$52.20","$33.64","$0.00","$29.00","$24.08","$34.80","$29.41","$17.46","$17.81","$52.20","$0.00","$0.00","$45.82","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC PLATFORM ATTACHMENT","","$228.00","$68.63","$205.20","$132.24","$0.00","$114.00","$94.64","$136.80","$115.60","$68.63","$70.00","$205.20","$0.00","$0.00","$180.12","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC REACHER","","$90.00","$27.09","$81.00","$52.20","$0.00","$45.00","$37.36","$54.00","$45.63","$27.09","$27.63","$81.00","$0.00","$0.00","$71.10","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC SHOE DARCO POST OP","","$50.00","$15.05","$45.00","$29.00","$0.00","$25.00","$20.76","$30.00","$25.35","$15.05","$15.35","$45.00","$0.00","$0.00","$39.50","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC SHOE HORN LONG HANDLE","","$8.00","$2.41","$7.20","$4.64","$0.00","$4.00","$3.32","$4.80","$4.06","$2.41","$2.46","$7.20","$0.00","$0.00","$6.32","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC SHOE LACES ELASTIC","","$13.00","$3.91","$11.70","$7.54","$0.00","$6.50","$5.40","$7.80","$6.59","$3.91","$3.99","$11.70","$0.00","$0.00","$10.27","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC SOCK AID","","$53.00","$15.95","$47.70","$30.74","$0.00","$26.50","$22.00","$31.80","$26.87","$15.95","$16.27","$47.70","$0.00","$0.00","$41.87","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC TLSO SHELL","","$3,264.00","$982.46","$2,937.60","$1,893.12","$0.00","$1,632.00","$1,354.89","$1,958.40","$1,654.85","$982.46","$1,002.05","$2,937.60","$0.00","$0.00","$2,578.56","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC TOILET AID","","$45.00","$13.55","$40.50","$26.10","$0.00","$22.50","$18.68","$27.00","$22.82","$13.55","$13.82","$40.50","$0.00","$0.00","$35.55","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC TRACTION CERVICAL UNIT","","$77.00","$23.18","$69.30","$44.66","$0.00","$38.50","$31.96","$46.20","$39.04","$23.18","$23.64","$69.30","$0.00","$0.00","$60.83","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC VITALSTIM ELECTRODES","","$200.00","$60.20","$180.00","$116.00","$0.00","$100.00","$83.02","$120.00","$101.40","$60.20","$61.40","$180.00","$0.00","$0.00","$158.00","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC BARIATRIC BED FRAME W/ BARIATRIC MATTRESS","","$298.00","$89.70","$268.20","$172.84","$0.00","$149.00","$123.70","$178.80","$151.09","$89.70","$91.49","$268.20","$0.00","$0.00","$235.42","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC BARIMAX II ETS+PD BED DAILY CHG","","$298.00","$89.70","$268.20","$172.84","$0.00","$149.00","$123.70","$178.80","$151.09","$89.70","$91.49","$268.20","$0.00","$0.00","$235.42","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC ADVANCE WAVE MATTRESS W/ 500 LOW BED","","$276.00","$83.08","$248.40","$160.08","$0.00","$138.00","$114.57","$165.60","$139.93","$83.08","$84.73","$248.40","$0.00","$0.00","$218.04","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC WOUND VAC DAILY CHARGE","","$192.00","$57.79","$172.80","$111.36","$0.00","$96.00","$79.70","$115.20","$97.34","$57.79","$58.94","$172.80","$0.00","$0.00","$151.68","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC KNEE BRACE HINGED (DRYTEX","L1833","$764.00","$160.44","$687.60","$443.12","$160.44","$382.00","$317.14","$458.40","$387.35","$229.96","$234.55","$687.60","$0.00","$0.00","$603.56","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC BANDAGE ELASTIC 6"","","$4.00","$1.20","$3.60","$2.32","$0.00","$2.00","$1.66","$2.40","$2.03","$1.20","$1.23","$3.60","$0.00","$0.00","$3.16","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC TRIPLE LUMEN PICC","C1751","$802.20","$241.46","$721.98","$465.28","$0.00","$401.10","$332.99","$481.32","$406.72","$241.46","$246.28","$721.98","$0.00","$0.00","$633.74","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DOUBLE LUMEN PICC","C1751","$688.80","$207.33","$619.92","$399.50","$0.00","$344.40","$285.92","$413.28","$349.22","$207.33","$211.46","$619.92","$0.00","$0.00","$544.15","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC SINGLE LUMEN PICC","C1751","$693.00","$208.59","$623.70","$401.94","$0.00","$346.50","$287.66","$415.80","$351.35","$208.59","$212.75","$623.70","$0.00","$0.00","$547.47","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC SET, MICRO INTRODUCER","C1751","$207.90","$62.58","$187.11","$120.58","$0.00","$103.95","$86.30","$124.74","$105.41","$62.58","$63.83","$187.11","$0.00","$0.00","$164.24","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC STATLOCK, FOR PICC PLUS","","$27.30","$8.22","$24.57","$15.83","$0.00","$13.65","$11.33","$16.38","$13.84","$8.22","$8.38","$24.57","$0.00","$0.00","$21.57","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC CELLSAVER, SAMPLING PORT","","$31.00","$9.33","$27.90","$17.98","$0.00","$15.50","$12.87","$18.60","$15.72","$9.33","$9.52","$27.90","$0.00","$0.00","$24.49","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC CELLSAVER, ACDA","","$119.00","$35.82","$107.10","$69.02","$0.00","$59.50","$49.40","$71.40","$60.33","$35.82","$36.53","$107.10","$0.00","$0.00","$94.01","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC CELLSAVER, EMERGENCY","","$773.00","$232.67","$695.70","$448.34","$0.00","$386.50","$320.87","$463.80","$391.91","$232.67","$237.31","$695.70","$0.00","$0.00","$610.67","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC CELLSAVER II","","$1,447.00","$435.55","$1,302.30","$839.26","$0.00","$723.50","$600.65","$868.20","$733.63","$435.55","$444.23","$1,302.30","$0.00","$0.00","$1,143.13","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC CELLSAVER, EMERGENCY FEE","","$2,253.00","$678.15","$2,027.70","$1,306.74","$0.00","$1,126.50","$935.22","$1,351.80","$1,142.27","$678.15","$691.67","$2,027.70","$0.00","$0.00","$1,779.87","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC CELLSAVER","","$2,625.00","$790.13","$2,362.50","$1,522.50","$0.00","$1,312.50","$1,089.64","$1,575.00","$1,330.88","$790.13","$805.88","$2,362.50","$0.00","$0.00","$2,073.75","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC PALL FILTER CELLSAVER","","$158.00","$47.56","$142.20","$91.64","$0.00","$79.00","$65.59","$94.80","$80.11","$47.56","$48.51","$142.20","$0.00","$0.00","$124.82","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC AAL","","$237.00","$71.34","$213.30","$137.46","$0.00","$118.50","$98.38","$142.20","$120.16","$71.34","$72.76","$213.30","$0.00","$0.00","$187.23","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC LIPID FILTER CELLSAVER","","$237.00","$71.34","$213.30","$137.46","$0.00","$118.50","$98.38","$142.20","$120.16","$71.34","$72.76","$213.30","$0.00","$0.00","$187.23","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC LEUKO FILTER CELLSAVER","","$396.00","$119.20","$356.40","$229.68","$0.00","$198.00","$164.38","$237.60","$200.77","$119.20","$121.57","$356.40","$0.00","$0.00","$312.84","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC BLUETOOTH MONITORING","","$39.00","$11.74","$35.10","$22.62","$0.00","$19.50","$16.19","$23.40","$19.77","$11.74","$11.97","$35.10","$0.00","$0.00","$30.81","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC PANNICULUS RETRACTOR","","$412.00","$124.01","$370.80","$238.96","$0.00","$206.00","$171.02","$247.20","$208.88","$124.01","$126.48","$370.80","$0.00","$0.00","$325.48","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC SYSTEM, WOUND MGNT","","$742.00","$223.34","$667.80","$430.36","$0.00","$371.00","$308.00","$445.20","$376.19","$223.34","$227.79","$667.80","$0.00","$0.00","$586.18","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC ULTRASOUND RENTAL FEE #211559","","$4,961.00","$1,493.26","$4,464.90","$2,877.38","$0.00","$2,480.50","$2,059.31","$2,976.60","$2,515.23","$1,493.26","$1,523.03","$4,464.90","$0.00","$0.00","$3,919.19","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC LASER LITHOTRIPSY FULL SERVICE FEE #212310","","$2,536.00","$763.34","$2,282.40","$1,470.88","$0.00","$1,268.00","$1,052.69","$1,521.60","$1,285.75","$763.34","$778.55","$2,282.40","$0.00","$0.00","$2,003.44","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC POWER GLIDE MIDLINE CATHETER","C1751","$299.00","$90.00","$269.10","$173.42","$0.00","$149.50","$124.11","$179.40","$151.59","$90.00","$91.79","$269.10","$0.00","$0.00","$236.21","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC POWER GLIDE MIDLINE KIT","","$545.00","$164.05","$490.50","$316.10","$0.00","$272.50","$226.23","$327.00","$276.32","$164.05","$167.32","$490.50","$0.00","$0.00","$430.55","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC PROTOUCH LASER","","$3,774.00","$1,135.97","$3,396.60","$2,188.92","$0.00","$1,887.00","$1,566.59","$2,264.40","$1,913.42","$1,135.97","$1,158.62","$3,396.60","$0.00","$0.00","$2,981.46","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC 5FR TRIPLE 3 CG POWER BARD CATHETER","C1751","$1,086.00","$326.89","$977.40","$629.88","$0.00","$543.00","$450.80","$651.60","$535.40","$326.89","$333.40","$977.40","$0.00","$0.00","$857.94","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC POWERGLIDE MIDLINE 8CM","C1751","$376.00","$113.18","$338.40","$218.08","$0.00","$188.00","$156.08","$225.60","$190.63","$113.18","$115.43","$338.40","$0.00","$0.00","$297.04","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC POWERGLIDE MIDLINE 10CM","C1751","$376.00","$113.18","$338.40","$218.08","$0.00","$188.00","$156.08","$225.60","$190.63","$113.18","$115.43","$338.40","$0.00","$0.00","$297.04","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC SLEEVE COMPRESSION LARGE THIGH SCD EXPRESS 28-36IN THIGH CIRCUMFERENCE","L3650","$84.00","$17.64","$75.60","$48.72","$17.64","$42.00","$34.87","$50.40","$42.59","$25.28","$25.79","$75.60","$0.00","$0.00","$66.36","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC ANKLE STIRRUP","L4350","$141.00","$29.61","$126.90","$81.78","$29.61","$70.50","$58.53","$84.60","$71.49","$42.44","$43.29","$126.90","$0.00","$0.00","$111.39","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC WRIST SPLINT VELCRO","L3908","$85.00","$17.85","$76.50","$49.30","$17.85","$42.50","$35.28","$51.00","$43.10","$25.59","$26.10","$76.50","$0.00","$0.00","$67.15","$0.00","$0.00","$0.00","$0.00"
