Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Aetna NC Preferred,BCBS,BCBS Blue Select,BCBS Blue UNC Health Alliance,Blue Home,Cash Discount,Cigna,Cigna Connect Network,Cigna SureFit,First Health,Humana,Humana Medicare Advantage,Liberty  Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Johnston Memorial Hospital","CESAREAN DELIVERY ONLY","MS-DRG: 788","$22,680.30","$5,141.29","$19,873.36","$12,399.64","$0.00","$11,272.40","$7,494.00","$7,494.00","$5,234.00","$5,914.00","$13,608.18","$0.00","$10,731.62","$10,955.22","$19,376.54","$19,873.36","$0.00","$0.00","$17,612.76","$5,141.29","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications (MCC). ","MS-DRG: 470","$55,527.39","$11,709.08","$45,781.15","$32,385.13","$13,934.21","$29,441.03","$16,781.82","$16,781.82","$11,709.08","$13,230.90","$33,316.43","$0.00","$24,721.83","$25,236.89","$44,636.62","$45,781.15","$13,661.38","$14,344.45","$40,573.54","$13,061.12","$0.00","$13,865.91","$13,934.21"
"Johnston Memorial Hospital","NORMAL NEWBORN","MS-DRG: 795","$3,548.80","$818.00","$3,017.08","$2,027.41","$0.00","$1,843.10","$1,171.00","$1,171.00","$818.00","$924.00","$2,129.28","$0.00","$1,629.23","$1,663.17","$2,941.65","$3,017.08","$0.00","$0.00","$2,673.88","$863.81","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","OBSTETRICAL CARE,VAG DELIV ONLY","MS-DRG: 807","$15,686.10","$2,722.88","$12,355.56","$8,846.12","$0.00","$8,041.93","$3,981.00","$3,981.00","$2,780.00","$3,142.00","$9,411.66","$0.00","$6,672.00","$6,811.00","$12,046.67","$12,355.56","$0.00","$0.00","$10,950.13","$2,722.88","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","Uterine and adnexa procedures for non-malignancy without comorbid conditions (CC) or major comorbid conditions or complications (MCC) ","MS-DRG: 743","$30,721.62","$6,978.36","$21,234.40","$15,618.94","$9,122.59","$14,199.04","$10,001.61","$10,001.61","$6,978.36","$7,885.34","$18,432.97","$0.00","$11,466.58","$11,705.48","$20,703.54","$21,234.40","$8,762.52","$9,200.65","$18,819.00","$8,658.90","$0.00","$9,078.77","$9,122.59"
"Johnston Memorial Hospital","HC JMH PRIVATE ROOM","","$1,344.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$806.40","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","HC JMH PSYCH PRIVATE ROOM","","$2,062.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,237.20","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","HC JMH LEVEL 1 NURSERY ROOM","","$1,272.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$763.20","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","HC JMH LEVEL 2 NURSERY ROOM","","$2,486.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,491.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","HC JMH ICU ROOM","","$3,600.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$2,160.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","HC JMH INTERMEDIATE CARE ROOM","","$2,976.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,785.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","HC JMH OBSERVATION CARE PER HOUR","G0378","$56.00","$13.32","$56.00","$30.80","$0.00","$28.00","$19.07","$19.07","$13.32","$17.56","$33.60","$56.00","$22.51","$22.96","$43.68","$44.80","$0.00","$0.00","$40.05","$0.00","$29.46","$0.00","$0.00"
"Johnston Memorial Hospital","HC RT O2 PER HOUR","","$22.00","$4.57","$17.60","$12.10","$0.00","$11.00","$6.54","$6.54","$4.57","$5.16","$13.20","$13.84","$8.84","$9.02","$17.16","$17.60","$0.00","$0.00","$15.73","$0.00","$11.57","$0.00","$0.00"
"Johnston Memorial Hospital","HC OXYGEN PER HOUR","","$22.00","$4.57","$17.60","$12.10","$0.00","$11.00","$6.54","$6.54","$4.57","$5.16","$13.20","$13.84","$8.84","$9.02","$17.16","$17.60","$0.00","$0.00","$15.73","$0.00","$11.57","$0.00","$0.00"
"Johnston Memorial Hospital","HC BLOOD COMPONENT SET","","$24.00","$4.98","$19.20","","$0.00","","$7.13","$7.13","$4.98","$5.63","$14.40","$15.10","$9.65","$9.84","$18.72","$19.20","$0.00","$0.00","$17.16","$0.00","$12.62","$0.00","$0.00"
"Johnston Memorial Hospital","HC BARRIER RING ADAPT CONVEX","A4404","$204.00","$42.35","$163.20","$112.20","$0.00","$102.00","$60.63","$60.63","$42.35","$47.86","$122.40","$128.32","$82.01","$83.64","$159.12","$163.20","$0.00","$0.00","$145.88","$0.00","$107.30","$0.00","$0.00"
"Johnston Memorial Hospital","HC OSTOMY BRIDGE LOOP","A4421","$136.00","$28.23","$108.80","$74.80","$0.00","$68.00","$40.42","$40.42","$28.23","$31.91","$81.60","$85.54","$54.67","$55.76","$106.08","$108.80","$0.00","$0.00","$97.25","$0.00","$71.54","$0.00","$0.00"
"Johnston Memorial Hospital","HC JMH WOUND DRESSING MEDIHONEY 2X2 CA ALG","","$28.00","$5.81","$22.40","$15.40","$0.00","$14.00","$8.32","$8.32","$5.81","$6.57","$16.80","$17.61","$11.26","$11.48","$21.84","$22.40","$0.00","$0.00","$20.02","$0.00","$14.73","$0.00","$0.00"
"Johnston Memorial Hospital","HC JMH WOUND DRESSING SOFT SILICONE 3X4IN","","$45.00","$9.34","$36.00","$24.75","$0.00","$22.50","$13.37","$13.37","$9.34","$10.56","$27.00","$28.31","$18.09","$18.45","$35.10","$36.00","$0.00","$0.00","$32.18","$0.00","$23.67","$0.00","$0.00"
