Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,BCBS,Blue Home,Cash Discount,Cigna,First Health,Humana,Humana Medicare Advantage,MedCost PPO,MedCost Ultra,Tricare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Caldwell UNC Health Care","Cervical spinal fusion without comorbid conditions (CC) or major comorbid conditions or complications (MCC). ","MS-DRG: 473","$57,450.34","$14,733.16","$43,957.46","$38,096.47","$16,994.29","$19,910.09","$14,804.29","$34,470.20","$23,854.26","$43,957.46","$14,733.16","$17,217.13","$27,195.02","$40,706.59","$40,706.59","$22,216.59","$16,745.96","$16,886.03"
"Caldwell UNC Health Care","CESAREAN DELIVERY ONLY","MS-DRG: 788","$19,091.55","$5,145.18","$13,131.22","$7,366.48","$0.00","$6,953.09","$5,170.02","$11,454.93","$6,807.12","$12,543.84","$5,145.18","$0.00","$7,760.45","$13,131.22","$13,131.22","$7,758.58","$0.00","$0.00"
"Caldwell UNC Health Care","Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications (MCC). ","MS-DRG: 470","$45,737.40","$11,019.42","$33,681.19","$29,190.36","$13,446.86","$14,891.42","$11,072.62","$27,442.44","$18,277.68","$33,681.19","$11,019.42","$13,373.42","$20,837.43","$17,215.63","$17,215.63","$16,616.53","$13,254.07","$13,214.55"
"Caldwell UNC Health Care","NORMAL NEWBORN","MS-DRG: 795","$1,211.80","$265.22","$779.60","$651.65","$0.00","$779.60","$779.60","$727.08","$265.22","$488.74","$651.65","$0.00","$302.37","$619.65","$619.65","$651.65","$0.00","$0.00"
"Caldwell UNC Health Care","OBSTETRICAL CARE,VAG DELIV ONLY","MS-DRG: 807","$5,451.75","$2,079.95","$5,110.45","$5,110.45","$0.00","$5,024.94","$3,736.33","$3,271.05","$2,079.95","$3,832.84","$3,718.38","$0.00","$2,371.25","$4,991.45","$4,991.45","$5,110.45","$0.00","$0.00"
"Caldwell UNC Health Care","Spinal fusion except cervical without major comorbid conditions or complications (MCC) ","MS-DRG: 460","$76,668.33","$22,809.66","$57,035.43","$49,430.71","$25,785.48","$30,824.50","$22,919.78","$46,001.00","$30,951.24","$57,035.43","$22,809.66","$25,959.93","$35,285.92","$54,861.94","$54,861.94","$34,395.39","$25,411.06","$25,460.70"
"Caldwell UNC Health Care","Uterine and adnexa procedures for non-malignancy without comorbid conditions (CC) or major comorbid conditions or complications (MCC) ","MS-DRG: 743","$24,752.30","$6,567.34","$19,907.25","$9,402.62","$8,433.06","$8,874.97","$6,599.04","$14,851.38","$10,803.01","$19,907.25","$6,567.34","$8,377.65","$12,315.95","$15,948.07","$15,948.07","$9,903.10","$8,312.23","$8,216.54"
"Caldwell UNC Health Care","HC CLDH PRIVATE ROOM","","$717.00","$174.23","$573.60","$444.54","$174.23","$418.15","$311.11","$430.20","$463.90","$509.07","$573.60","$0.00","$434.50","$473.22","$0.00","$387.18","$0.00","$0.00"
"Caldwell UNC Health Care","HC CLDH INTERMEDIATE CARE","","$882.00","$214.33","$705.60","$546.84","$214.33","$514.38","$382.70","$529.20","$570.65","$626.22","$705.60","$0.00","$534.49","$582.12","$0.00","$476.28","$0.00","$0.00"
"Caldwell UNC Health Care","HC CLDH OB PRIVATE ROOM","","$717.00","$174.23","$573.60","$444.54","$174.23","$418.15","$311.11","$430.20","$463.90","$509.07","$573.60","$0.00","$434.50","$473.22","$0.00","$387.18","$0.00","$0.00"
"Caldwell UNC Health Care","HC CLDH BH PRIVATE ROOM","","$1,400.00","$340.20","$1,120.00","$868.00","$340.20","$816.48","$607.46","$840.00","$905.80","$994.00","$1,120.00","$0.00","$848.40","$924.00","$0.00","$756.00","$0.00","$0.00"
"Caldwell UNC Health Care","HC CLDH BH SEMI PRIVATE ROOM","","$1,400.00","$340.20","$1,120.00","$868.00","$340.20","$816.48","$607.46","$840.00","$905.80","$994.00","$1,120.00","$0.00","$848.40","$924.00","$0.00","$756.00","$0.00","$0.00"
"Caldwell UNC Health Care","HC CLDH NURSERY ROOM","","$551.00","$133.89","$440.80","$341.62","$133.89","$321.34","$239.08","$330.60","$356.50","$391.21","$440.80","$0.00","$333.91","$363.66","$0.00","$297.54","$0.00","$0.00"
"Caldwell UNC Health Care","HC CLDH ICU ROOM","","$1,323.00","$321.49","$1,058.40","$820.26","$321.49","$771.57","$574.05","$793.80","$855.98","$939.33","$1,058.40","$0.00","$801.74","$873.18","$0.00","$714.42","$0.00","$0.00"
"Caldwell UNC Health Care","HC CLDH OBSERVATION CARE PER HOUR","G0378","$88.00","$21.38","$88.00","$54.56","$21.38","$53.36","$39.70","$52.80","$88.00","$62.48","$70.40","$0.00","$53.33","$58.08","$0.00","$47.52","$0.00","$0.00"
"Caldwell UNC Health Care","HC HIGH FLOW OXYGEN THERAPY","","$400.00","$97.20","$320.00","$248.00","$97.20","$242.88","$180.68","$240.00","$258.80","$284.00","$320.00","$0.00","$242.40","$212.00","$0.00","$216.00","$0.00","$0.00"
"Caldwell UNC Health Care","HC AEROSOL DELIVERY SYS","","$189.00","$45.93","$151.20","$117.18","$45.93","$114.76","$85.37","$113.40","$122.28","$134.19","$151.20","$0.00","$114.53","$100.17","$0.00","$102.06","$0.00","$0.00"
"Caldwell UNC Health Care","HC ANESTHESIA OXYGEN PER HOUR","","$15.00","$3.65","$12.00","$9.30","$3.65","$9.11","$6.78","$9.00","$9.71","$10.65","$12.00","$0.00","$9.09","$7.95","$0.00","$8.10","$0.00","$0.00"
"Caldwell UNC Health Care","HC CAN ARTHROS THRD CLR TRAC","","$1,346.00","$327.08","$1,076.80","$834.52","$327.08","$817.29","$607.99","$807.60","$870.86","$955.66","$1,076.80","$0.00","$815.68","$713.38","$0.00","$726.84","$0.00","$0.00"
"Caldwell UNC Health Care","HC CLD O2 PER DAY","","$116.00","$28.19","$92.80","$71.92","$28.19","$70.44","$52.40","$69.60","$75.05","$82.36","$92.80","$0.00","$70.30","$61.48","$0.00","$62.64","$0.00","$0.00"
"Caldwell UNC Health Care","HC RT O2 PER HOUR","","$9.00","$2.19","$7.20","$5.58","$2.19","$5.46","$4.07","$5.40","$5.82","$6.39","$7.20","$0.00","$5.45","$4.77","$0.00","$4.86","$0.00","$0.00"
"Caldwell UNC Health Care","HC CLD O2 SET UP CHARGE","","$54.00","$13.12","$43.20","$33.48","$13.12","$32.79","$24.39","$32.40","$34.94","$38.34","$43.20","$0.00","$32.72","$28.62","$0.00","$29.16","$0.00","$0.00"
"Caldwell UNC Health Care","HC CROUPETTE SU","","$55.00","$13.37","$44.00","$34.10","$13.37","$33.40","$24.84","$33.00","$35.59","$39.05","$44.00","$0.00","$33.33","$29.15","$0.00","$29.70","$0.00","$0.00"
"Caldwell UNC Health Care","HC KNEE IMMOBILIZER LONG PREFAB","L1830","$296.00","$71.93","$236.80","$183.52","$71.93","$179.73","$133.70","$177.60","$191.51","$210.16","$236.80","$0.00","$179.38","$156.88","$0.00","$159.84","$0.00","$0.00"
"Caldwell UNC Health Care","HC WALKING BOOT  PRECUSTOM","L4386","$465.00","$113.00","$372.00","$288.30","$113.00","$282.35","$210.04","$279.00","$300.86","$330.15","$372.00","$0.00","$281.79","$246.45","$0.00","$251.10","$0.00","$0.00"
"Caldwell UNC Health Care","HC BAND AND HOLD","","$26.00","$6.32","$20.80","$16.12","$6.32","$15.79","$11.74","$15.60","$16.82","$18.46","$20.80","$0.00","$15.76","$13.78","$0.00","$14.04","$0.00","$0.00"
"Caldwell UNC Health Care","HC BILI LIGHT","","$18.00","$4.37","$14.40","$11.16","$4.37","$10.93","$8.13","$10.80","$11.65","$12.78","$14.40","$0.00","$10.91","$9.54","$0.00","$9.72","$0.00","$0.00"
"Caldwell UNC Health Care","HC CLD SUPPLY GUN","","$567.00","$137.78","$453.60","$351.54","$137.78","$344.28","$256.11","$340.20","$366.85","$402.57","$453.60","$0.00","$343.60","$300.51","$0.00","$306.18","$0.00","$0.00"
"Caldwell UNC Health Care","HC EMG STIMULATOR","","$496.00","$120.53","$396.80","$307.52","$120.53","$301.17","$224.04","$297.60","$320.91","$352.16","$396.80","$0.00","$300.58","$262.88","$0.00","$267.84","$0.00","$0.00"
"Caldwell UNC Health Care","HC MON APNEA BRADYCARDI","","$9.00","$2.19","$7.20","$5.58","$2.19","$5.46","$4.07","$5.40","$5.82","$6.39","$7.20","$0.00","$5.45","$4.77","$0.00","$4.86","$0.00","$0.00"
"Caldwell UNC Health Care","HC NEURO MONITORING SUPPLY","","$1,162.00","$282.37","$929.60","$720.44","$282.37","$705.57","$524.88","$697.20","$751.81","$825.02","$929.60","$0.00","$704.17","$615.86","$0.00","$627.48","$0.00","$0.00"
"Caldwell UNC Health Care","HC KNEE IMMOBILIZER - PREFABRICATED","L1830","$296.00","$71.93","$236.80","$183.52","$71.93","$179.73","$133.70","$177.60","$191.51","$210.16","$236.80","$0.00","$179.38","$156.88","$0.00","$159.84","$0.00","$0.00"
"Caldwell UNC Health Care","HC L4387 NON-PNEUM WALK BOOT OTS","L4387","$153.00","$37.18","$122.40","$94.86","$37.18","$92.90","$69.11","$91.80","$98.99","$108.63","$122.40","$0.00","$92.72","$81.09","$0.00","$82.62","$0.00","$0.00"
"Caldwell UNC Health Care","HC SCREW HEADLESS DARCO WRIG","C1713","$2,969.00","$721.47","$2,107.99","$1,840.78","$721.47","$1,802.78","$1,341.10","$1,781.40","$1,920.94","$2,107.99","$1,620.00","$0.00","$1,799.21","$1,573.57","$0.00","$1,603.26","$0.00","$0.00"
"Caldwell UNC Health Care","HC SPINE SPACER ALTERA GLOBU","C1713","$12,800.00","$1,620.00","$9,088.00","$7,936.00","$3,110.40","$7,772.16","$5,781.76","$7,680.00","$8,281.60","$9,088.00","$1,620.00","$0.00","$7,756.80","$6,784.00","$0.00","$6,912.00","$0.00","$0.00"
"Caldwell UNC Health Care","HC PICC PERIF INSERT CATH","C1751","$274.00","$66.58","$219.20","$169.88","$66.58","$166.37","$123.77","$164.40","$177.28","$194.54","$219.20","$0.00","$166.04","$145.22","$0.00","$147.96","$0.00","$0.00"
"Caldwell UNC Health Care","HC PICC TRAY DUAL LUMEN","C1751","$1,125.00","$273.38","$900.00","$697.50","$273.38","$683.10","$508.16","$675.00","$727.88","$798.75","$900.00","$0.00","$681.75","$596.25","$0.00","$607.50","$0.00","$0.00"
"Caldwell UNC Health Care","HC KINEX BIOCELL REGEN CELL","","$8,269.00","$1,620.00","$5,870.99","$5,126.78","$2,009.37","$5,020.94","$3,735.11","$4,961.40","$5,350.04","$5,870.99","$1,620.00","$0.00","$5,011.01","$4,382.57","$0.00","$4,465.26","$0.00","$0.00"
"Caldwell UNC Health Care","HC TRIAL LEAD - TLEAD 1058-50B","C1897","$3,000.00","$729.00","$2,130.00","$1,860.00","$729.00","$1,821.60","$1,355.10","$1,800.00","$1,941.00","$2,130.00","$1,620.00","$0.00","$1,818.00","$1,590.00","$0.00","$1,620.00","$0.00","$0.00"
"Caldwell UNC Health Care","HC THERAPEUTIC PHLEBOTOMY","99195","$196.00","$86.08","$156.80","$121.52","$103.30","$118.85","$88.42","$117.60","$126.81","$139.16","$156.80","$109.87","$118.78","$129.36","$86.08","$105.84","$101.63","$103.30"
"Caldwell UNC Health Care","HC HYDRATION IV INITIAL 31MIN-1HR","96360","$402.00","$144.86","$321.60","$249.24","$173.83","$234.45","$174.43","$241.20","$260.09","$285.42","$321.60","$177.24","$243.61","$265.32","$144.86","$217.08","$171.27","$173.83"
"Caldwell UNC Health Care","HC HYDRATION IV EACH ADDTL HR","96361","$146.00","$30.05","$116.80","$90.52","$36.05","$85.15","$63.35","$87.60","$94.46","$103.66","$116.80","$36.76","$88.48","$96.36","$30.05","$78.84","$35.52","$36.05"
"Caldwell UNC Health Care","HC IV INFUSION INITIAL UP TO 1HR","96365","$479.00","$144.86","$383.20","$296.98","$173.83","$279.35","$207.84","$287.40","$309.91","$340.09","$383.20","$177.24","$290.27","$316.14","$144.86","$258.66","$171.27","$173.83"
"Caldwell UNC Health Care","HC IV INFUSION EACH ADDTL HR","96366","$181.00","$30.05","$144.80","$112.22","$36.05","$105.56","$78.54","$108.60","$117.11","$128.51","$144.80","$36.76","$109.69","$119.46","$30.05","$97.74","$35.52","$36.05"
"Caldwell UNC Health Care","HC IV INFUSION SEQUENTIAL UPTO1HR","96367","$250.00","$47.67","$200.00","$155.00","$57.21","$145.80","$108.48","$150.00","$161.75","$177.50","$200.00","$58.33","$151.50","$165.00","$47.67","$135.00","$56.37","$57.21"
"Caldwell UNC Health Care","HC IV INFUSION CONCURRENT","96368","$160.00","$17.09","$128.00","$99.20","$20.50","$93.31","$69.42","$96.00","$103.52","$113.60","$128.00","$20.90","$96.96","$105.60","$17.09","$86.40","$20.20","$20.50"
"Caldwell UNC Health Care","HC INJECTION ADMIN INTRA ARTERIAL","96373","$276.00","$119.76","$220.80","$171.12","$182.85","$160.96","$119.76","$165.60","$178.57","$195.96","$220.80","$186.43","$167.26","$182.16","$152.37","$149.04","$171.27","$182.85"
"Caldwell UNC Health Care","HC IV PUSH SINGLE / INITIAL","96374","$336.00","$144.86","$268.80","$208.32","$173.83","$195.96","$145.79","$201.60","$217.39","$238.56","$268.80","$177.24","$203.62","$221.76","$144.86","$181.44","$171.27","$173.83"
"Caldwell UNC Health Care","HC IV PUSH SEQ EA ADD NEW DRUG","96375","$255.00","$30.05","$204.00","$158.10","$36.05","$148.72","$110.64","$153.00","$164.99","$181.05","$204.00","$36.76","$154.53","$168.30","$30.05","$137.70","$35.52","$36.05"
"Caldwell UNC Health Care","HC IV PUSH SAME DRUG EA ADD","96376","$81.00","$19.68","$64.80","$50.22","$19.68","$47.24","$35.15","$48.60","$52.41","$57.51","$64.80","$0.00","$49.09","$53.46","$0.00","$43.74","$0.00","$0.00"
"Caldwell UNC Health Care","HC COLLECTION BLOOD VENIPUNCTURE","36415","$9.00","$1.95","$7.20","$5.58","$3.06","$0.00","$0.00","$5.40","$1.95","$6.39","$7.20","$3.12","$5.45","$3.87","$2.55","$4.86","$3.02","$3.06"
"Caldwell UNC Health Care","HC BLOOD GAS PACKAGE","82803","$44.00","$12.40","$35.20","$27.28","$26.59","$16.68","$12.40","$26.40","$17.13","$31.24","$35.20","$27.11","$26.66","$18.92","$22.16","$23.76","$26.20","$26.59"
"Caldwell UNC Health Care","HC CHEMO INJ SQ/IM NON HORMONAL","96401","$223.00","$50.15","$178.40","$138.26","$60.18","$171.96","$127.94","$133.80","$144.28","$158.33","$178.40","$61.81","$135.14","$147.18","$50.15","$120.42","$56.37","$60.18"
"Caldwell UNC Health Care","HC CHEMO IV PUSH SINGLE/INITIAL","96409","$250.00","$135.00","$200.00","$155.00","$182.85","$192.78","$143.43","$150.00","$161.75","$177.50","$200.00","$186.43","$151.50","$165.00","$151.33","$135.00","$171.27","$181.60"
"Caldwell UNC Health Care","HC CHEMO IV INITIAL UP TO 1HR","96413","$501.00","$255.00","$400.80","$310.62","$310.39","$386.32","$287.42","$300.60","$324.15","$355.71","$400.80","$314.14","$303.61","$330.66","$255.00","$270.54","$288.60","$310.39"
"Caldwell UNC Health Care","HC CHEMO IV EACH ADDTL HOUR","96415","$105.00","$50.52","$84.00","$65.10","$60.62","$80.97","$60.24","$63.00","$67.94","$74.55","$84.00","$58.41","$63.63","$69.30","$50.52","$56.70","$56.37","$60.62"
"Caldwell UNC Health Care","HC VAGINAL DELIVERY IN OR","","$1,936.00","$470.45","$1,548.80","$1,200.32","$470.45","$1,167.60","$868.68","$1,161.60","$1,252.59","$1,374.56","$1,548.80","$0.00","$1,173.22","$1,277.76","$0.00","$1,045.44","$0.00","$0.00"
"Caldwell UNC Health Care","HC FETAL NON STRESS TEST","59025","$343.00","$130.91","$274.40","$212.66","$157.09","$200.04","$148.83","$205.80","$221.92","$243.53","$274.40","$160.18","$207.86","$226.38","$130.91","$185.22","$154.78","$157.09"
"Caldwell UNC Health Care","HC NASOTRACHEAL ASPIRATION","31720","$93.00","$41.95","$190.06","$57.66","$93.00","$56.40","$41.95","$55.80","$60.17","$66.03","$74.40","$93.00","$56.36","$61.38","$65.10","$50.22","$93.00","$190.06"
