Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,BCBS,BCBS Medicare Advantage,Cash Discount,Cigna,Cigna Connect Network,Cigna SureFit,Coventry,First Carolina Care,First Carolina Care Medicare Advantage,First Health,First Medicare Direct,Humana,Humana Gold,Humana Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Chatham Hospital","NORMAL NEWBORN","MS-DRG: 795","$2,944.80","$1,059.44","$2,365.65","$1,866.24","$0.00","$1,906.19","$0.00","$1,552.17","$1,989.77","$1,393.11","$1,419.39","$0.00","$2,365.65","$0.00","$2,181.66","$0.00","$2,313.08","$0.00","$0.00","$2,260.51","$1,059.44","$0.00","$0.00","$0.00"
"Chatham Hospital","OBSTETRICAL CARE,VAG DELIV ONLY","MS-DRG: 807","$8,548.43","$4,759.94","$9,169.97","$7,234.08","$0.00","$7,629.54","$0.00","$6,407.07","$7,712.96","$5,400.09","$5,501.98","$0.00","$9,169.97","$0.00","$8,456.75","$0.00","$8,966.19","$0.00","$0.00","$8,762.41","$4,759.94","$0.00","$0.00","$0.00"
"Chatham Hospital","HC CHT PRIVATE ROOM","","$976.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$585.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Chatham Hospital","HC CHT INTERIM CARE (SB)","","$576.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$345.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Chatham Hospital","HC CHT LEVEL 1 NURSERY","","$1,361.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$816.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Chatham Hospital","HC CHT ICU ROOM","","$2,553.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,531.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Chatham Hospital","HC CLDH INTERMEDIATE CARE ROOM","","$2,070.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,242.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Chatham Hospital","HC CLDH PRIVATE ROOM W/ TELEMETRY","","$1,660.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$996.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Chatham Hospital","HC CHT ICU OBSERVATION CARE PER HOUR","G0378","$99.00","$27.72","$91.08","$75.24","$29.30","$76.75","$27.72","$59.40","$74.94","$52.47","$53.46","$75.24","$89.10","$29.57","$88.11","$29.70","$87.12","$29.00","$29.00","$91.08","$28.86","$89.10","$29.43","$29.11"
"Chatham Hospital","HC CHT OBSERVATION CARE PER HOUR W/ TELEMETRY","G0378","$69.00","$19.32","$63.48","$52.44","$20.42","$53.50","$19.32","$41.40","$52.23","$36.57","$37.26","$52.44","$62.10","$20.61","$61.41","$20.70","$60.72","$20.21","$20.21","$63.48","$20.11","$62.10","$20.51","$20.29"
