Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Americas First Choice Medicare Advantage,BCBS,BCBS Medicare Advantage,BCBS UNC Health Alliance,Blue Home,Cash Discount,Cigna,Cigna Behavioral Health,Cigna Connect Network,Cigna SureFit,Crescent,First Carolina Care,First Medicare Direct,Galaxy,Health Payors,HealthScope,HealthSmart,Horizons Behavioral,Humana,Humana Alignment,Humana Medicare Advantage,Liberty Medicare Advantage,LifeTrac Medicare Advantage,MedCost,MedCost Ultra,Optum Health Behavioral,Pace,Piedmont,PPO Next,Provider Select,Southeastern Health Network,TriCare,United Healthcare,United Healthcare Medicare Advantage
"UNC Hospital","Cardiac valve and other major cardiothoracic procedures with cardiac catheterization with major complications or comorbidities ","MS-DRG: 216","$236,549.38","$40,214.62","$157,192.78","$124,558.92","$85,983.36","$93,573.64","$157,192.78","$74,021.92","$87,568.58","$122,500.31","$141,929.63","$141,735.06","$140,111.84","$127,643.49","$82,812.57","$1.00","$105,083.89","$95,445.11","$133,106.27","$119,095.07","$112,089.47","$112,089.47","$136,712.64","$133,106.27","$93,573.64","$75,144.45","$98,252.32","$63,242.12","$40,214.62","$140,111.84","$136,712.64","$63,242.12","$136,712.64","$126,100.66","$119,095.07","$105,083.89","$0.00","$140,111.84","$75,589.25"
"UNC Hospital","Cervical spinal fusion without comorbid conditions (CC) or major comorbid conditions or complications (MCC). ","MS-DRG: 473","$56,223.38","$2,350.00","$58,609.95","$22,244.56","$20,563.04","$24,847.03","$32,057.32","$20,085.30","$17,819.50","$24,995.57","$33,734.03","$39,641.37","$58,609.95","$39,727.83","$23,686.72","$1.00","$16,600.95","$25,343.97","$55,679.44","$49,818.46","$46,887.96","$46,887.96","$40,706.59","$20,461.97","$24,847.03","$20,461.56","$26,089.38","$16,224.85","$15,268.41","$11,353.77","$40,706.59","$16,224.85","$2,350.00","$52,748.97","$49,818.46","$3,235.00","$20,031.38","$41,599.20","$20,271.25"
"UNC Hospital","CESAREAN DELIVERY ONLY","MS-DRG: 788","$16,694.10","$5,502.00","$15,397.40","$12,372.00","$0.00","$0.00","$12,517.00","$0.00","$6,972.00","$9,760.00","$10,016.46","$9,725.00","$15,397.40","$6,677.25","$6,878.00","$1.00","$5,502.00","$0.00","$14,627.53","$13,087.80","$12,317.92","$12,317.92","$12,496.00","$14,496.00","$0.00","$0.00","$0.00","$0.00","$7,689.00","$7,227.00","$12,496.00","$0.00","$12,496.00","$13,857.67","$13,087.80","$12,496.00","$6,640.74","$12,435.00","$0.00"
"UNC Hospital","Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications (MCC). ","MS-DRG: 470","$49,311.71","$4,155.00","$49,670.20","$40,411.02","$16,326.37","$19,269.54","$23,976.74","$15,708.09","$13,327.80","$18,695.02","$29,587.03","$29,818.21","$49,670.20","$31,941.84","$17,832.24","$1.00","$37,252.65","$19,654.93","$47,186.69","$42,219.68","$39,736.16","$39,736.16","$34,327.60","$22,202.38","$19,269.54","$16,023.80","$20,233.02","$16,224.52","$16,330.00","$15,352.14","$34,327.60","$16,224.52","$34,327.60","$44,703.20","$42,219.68","$4,155.00","$16,870.40","$31,248.87","$16,128.69"
"UNC Hospital","NORMAL NEWBORN","MS-DRG: 795","$2,884.65","$600.00","$2,889.30","$2,338.00","$0.00","$0.00","$1,642.00","$0.00","$830.00","$1,280.00","$1,730.79","$1,710.00","$2,889.30","$1,174.50","$1,210.00","$1.00","$1,146.00","$0.00","$2,744.84","$2,455.91","$2,311.44","$2,311.44","$1,754.00","$2,518.00","$0.00","$0.00","$0.00","$0.00","$1,132.00","$1,064.00","$1,754.00","$0.00","$1,754.00","$2,600.37","$2,455.91","$600.00","$1,115.74","$1,744.00","$0.00"
"UNC Hospital","OBSTETRICAL CARE,VAG DELIV ONLY","MS-DRG: 807","$10,247.65","$3,320.00","$9,909.35","$7,100.00","$0.00","$0.00","$5,951.00","$0.00","$3,320.00","$4,640.00","$6,148.59","$5,870.00","$9,909.35","$4,029.00","$4,150.00","$1.00","$3,668.00","$0.00","$9,413.89","$8,422.95","$7,927.48","$7,927.48","$7,476.00","$7,968.00","$0.00","$0.00","$0.00","$0.00","$4,448.00","$4,182.00","$7,476.00","$0.00","$7,476.00","$8,918.42","$8,422.95","$7,476.00","$3,692.86","$7,440.00","$0.00"
"UNC Hospital","Spinal fusion except cervical without major comorbid conditions or complications (MCC) ","MS-DRG: 460","$73,914.56","$24,950.42","$76,047.24","$32,436.90","$30,424.82","$36,976.68","$49,630.67","$29,604.64","$27,587.89","$38,697.77","$44,348.74","$70,369.28","$76,047.24","$52,721.38","$42,850.65","$1.00","$57,035.43","$37,716.21","$72,244.88","$64,640.16","$60,837.79","$60,837.79","$54,861.94","$29,195.34","$36,976.68","$30,112.64","$38,825.51","$25,318.07","$26,540.46","$24,950.42","$54,861.94","$25,318.07","$54,861.94","$68,442.52","$64,640.16","$57,035.43","$25,807.19","$71,609.00","$30,009.21"
"UNC Hospital","Uterine and adnexa procedures for non-malignancy without comorbid conditions (CC) or major comorbid conditions or complications (MCC) ","MS-DRG: 743","$27,976.02","$2,770.00","$27,027.66","$10,842.00","$10,821.93","$12,583.21","$14,289.63","$10,460.66","$7,943.08","$11,141.83","$16,785.61","$14,051.84","$27,027.66","$18,815.97","$8,073.30","$1.00","$20,270.74","$12,834.87","$25,676.27","$22,973.51","$21,622.13","$21,622.13","$15,948.07","$10,148.00","$12,583.21","$10,703.76","$13,212.37","$10,677.78","$6,382.00","$6,000.00","$15,948.07","$10,677.78","$2,770.00","$24,324.90","$22,973.51","$2,770.00","$11,184.27","$15,644.99","$10,683.99"
"UNC Hospital","HC UNCH PRIVATE ROOM","","$1,953.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,171.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC HBR PRIVATE ROOM","","$1,953.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,171.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
