Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Aetna NC Preferred,BCBS,Cash Discount,Cigna,Cigna Wayne Alliance,First Health,Humana Medciare Advantage,Liberty Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Wayne Memorial Hospital","HC WYNH PRIVATE ROOM","","$1,036.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$621.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Wayne Memorial Hospital","HC WYNH PSYCH PRIVATE ROOM","","$1,354.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$812.40","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Wayne Memorial Hospital","HC WAYH LEVEL 1 NURSERY","","$486.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$291.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Wayne Memorial Hospital","HC WAYH LEVEL 2 NURSERY ROOM","","$1,108.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$664.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Wayne Memorial Hospital","HC WAYH ICU ROOM","","$2,170.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,302.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Wayne Memorial Hospital","HC WAYH ICU ROOM","","$2,132.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,279.20","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Wayne Memorial Hospital","HC WAYH INTERMEDIATE CARE ROOM","","$1,407.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$844.20","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Wayne Memorial Hospital","HC WAYH OBSERVATION CARE PER HOUR","G0378","$43.00","$32.85","$39.69","$39.69","$0.00","$34.40","$34.16","$25.80","$36.25","$0.00","$37.84","$0.00","$0.00","$35.69","$0.00","$32.85","$0.00","$0.00"
"Wayne Memorial Hospital","HC WAYH OBSERVATION CARE DIRECT ADMISSION","G0379","$57.00","$42.75","$521.24","$52.61","$511.02","$45.60","$45.29","$34.20","$48.05","$0.00","$50.16","$511.02","$0.00","$47.31","$42.75","$43.55","$511.02","$521.24"
"Wayne Memorial Hospital","HC HIGH FLOW OXYGEN THERAPY","","$446.00","$340.74","$411.66","$411.66","$0.00","$356.80","$371.30","$267.60","$375.98","$0.00","$392.48","$0.00","$0.00","$370.18","$0.00","$340.74","$0.00","$0.00"
"Wayne Memorial Hospital","HC OXYGEN THERAPY PER DAY","","$71.00","$54.24","$65.53","$65.53","$0.00","$56.80","$59.11","$42.60","$59.85","$0.00","$62.48","$0.00","$0.00","$58.93","$0.00","$54.24","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT SPLINT PIP/DIP FLEXION LG","","$157.00","$119.95","$144.91","$144.91","$0.00","$125.60","$130.70","$94.20","$132.35","$0.00","$138.16","$0.00","$0.00","$130.31","$0.00","$119.95","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT BLOCKS R-LITE FOAM","","$7.00","$5.35","$6.46","$6.46","$0.00","$5.60","$5.83","$4.20","$5.90","$0.00","$6.16","$0.00","$0.00","$5.81","$0.00","$5.35","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT BLOCKS R-LITE FOAM  YELLOW","","$6.00","$4.58","$5.54","$5.54","$0.00","$4.80","$5.00","$3.60","$5.06","$0.00","$5.28","$0.00","$0.00","$4.98","$0.00","$4.58","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT BUTTON HOOK","","$48.00","$36.67","$44.30","$44.30","$0.00","$38.40","$39.96","$28.80","$40.46","$0.00","$42.24","$0.00","$0.00","$39.84","$0.00","$36.67","$0.00","$0.00"
