Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna HMO,Aetna Medicare Advantage,BCBS,Blue Home,Blue Home UNC Health Alliance,Cash Discount,Cigna,Cigna Connect Network,Cigna SureFit,First Carolina Care,Galaxy,Health Payors,Humana,Humana Alignment Medicare Advanatge,Humana Medicare Advantage,Liberty Medicare Advantage,MedCost,MedCost Ultra,OneNet,TriCare,United Healthcare,United Healthcare Compass,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Rex Hospital","Cardiac valve and other major cardiothoracic procedures with cardiac catheterization with major complications or comorbidities ","MS-DRG: 216","$197,625.03","$21,760.00","$149,680.06","$89,699.54","$89,699.54","$68,043.14","$149,680.06","$114,628.71","$77,495.80","$118,575.02","$84,347.33","$71,523.81","$71,523.81","$140,111.84","$133,106.27","$119,095.07","$133,106.27","$21,760.00","$68,975.87","$68,975.87","$116,867.91","$92,473.82","$86,869.34","$0.00","$140,111.84","$140,111.84","$67,505.83","$67,005.13"
"Rex Hospital","Cervical spinal fusion without comorbid conditions (CC) or major comorbid conditions or complications (MCC). ","MS-DRG: 473","$72,971.56","$3,060.00","$58,609.95","$17,105.17","$17,105.17","$16,392.92","$32,895.59","$25,191.16","$17,059.98","$43,782.94","$37,886.34","$23,084.77","$23,405.85","$11,343.98","$55,679.44","$49,818.46","$16,197.97","$3,060.00","$16,798.74","$16,798.74","$20,467.54","$38,682.56","$36,338.17","$15,618.62","$42,860.20","$58,609.95","$16,184.94","$16,318.78"
"Rex Hospital","CESAREAN DELIVERY ONLY","MS-DRG: 788","$15,693.67","$3,000.00","$15,124.47","$6,014.00","$6,014.00","$0.00","$12,638.00","$9,678.00","$6,554.00","$9,416.20","$9,245.00","$6,194.25","$6,331.00","$4,498.00","$14,368.25","$12,855.80","$8,825.00","$0.00","$0.00","$0.00","$3,000.00","$9,982.16","$9,377.17","$5,177.84","$13,961.00","$15,124.47","$0.00","$0.00"
"Rex Hospital","Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications (MCC). ","MS-DRG: 470","$60,372.74","$5,440.00","$63,107.84","$44,123.60","$44,123.60","$12,353.64","$32,411.00","$24,820.00","$16,809.00","$36,223.64","$44,569.00","$32,100.09","$32,340.23","$63,107.84","$59,952.44","$53,641.67","$26,529.00","$5,440.00","$12,564.33","$12,564.33","$42,458.80","$41,651.18","$39,126.86","$13,153.98","$41,526.88","$63,107.84","$12,238.16","$12,205.35"
"Rex Hospital","NORMAL NEWBORN","MS-DRG: 795","$2,628.45","$570.00","$2,584.95","$1,742.00","$1,742.00","$0.00","$1,098.00","$840.00","$570.00","$1,577.07","$1,246.00","$1,504.44","$1,504.44","$906.00","$2,455.70","$2,197.21","$966.00","$0.00","$0.00","$0.00","$700.00","$1,706.07","$1,602.67","$869.95","$1,956.00","$2,584.95","$0.00","$0.00"
"Rex Hospital","OBSTETRICAL CARE,VAG DELIV ONLY","MS-DRG: 807","$9,480.65","$2,690.00","$9,497.75","$5,252.00","$5,252.00","$0.00","$7,770.00","$5,950.00","$4,030.00","$5,688.39","$4,895.00","$3,145.00","$3,215.00","$4,498.00","$9,022.86","$8,073.09","$4,366.00","$0.00","$0.00","$0.00","$2,690.00","$6,268.52","$5,888.61","$2,879.35","$8,354.00","$9,497.75","$0.00","$0.00"
"Rex Hospital","Spinal fusion except cervical without major comorbid conditions or complications (MCC) ","MS-DRG: 460","$72,761.35","$2,249.00","$74,201.48","$25,357.90","$25,357.90","$25,486.91","$50,928.47","$39,000.59","$26,412.01","$43,656.81","$53,519.57","$45,076.75","$45,076.75","$2,249.00","$70,491.41","$63,071.26","$29,221.30","$6,800.00","$26,007.56","$26,007.56","$47,089.55","$48,972.98","$46,004.92","$20,122.07","$73,200.38","$74,201.48","$25,211.39","$25,264.48"
"Rex Hospital","Uterine and adnexa procedures for non-malignancy without comorbid conditions (CC) or major comorbid conditions or complications (MCC) ","MS-DRG: 743","$20,302.14","$4,498.00","$24,487.00","$12,262.00","$12,262.00","$7,422.42","$14,663.29","$11,229.02","$7,604.53","$12,181.28","$12,014.84","$6,680.80","$6,823.93","$4,498.00","$23,262.66","$20,813.96","$6,478.00","$4,760.00","$7,488.08","$7,488.08","$4,800.00","$16,161.43","$15,181.94","$8,720.46","$16,781.82","$24,487.00","$7,379.46","$7,274.13"
"Rex Hospital","HC REX PRIVATE ROOM","","$698.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$418.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX OBSTETRIC PRIVATE ROOM","","$698.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$418.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
