Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,BCBS,Cash Discount,Cigna,First Health,Humana Medicare Advantage,Liberty Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Pardee Hospital","CESAREAN DELIVERY ONLY","MS-DRG: 788","$19,851.41","$5,134.96","$13,881.84","$9,867.81","$7,050.63","$8,023.82","$11,910.85","$0.00","$13,881.84","$7,050.63","$6,560.44","$10,168.87","$5,134.96","$0.00","$7,050.63","$7,050.63"
"Pardee Hospital","Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications (MCC). ","MS-DRG: 470","$46,213.05","$12,191.37","$37,176.14","$26,426.41","$12,581.03","$17,184.60","$27,727.83","$0.00","$37,176.14","$12,191.37","$12,770.12","$27,232.64","$12,770.21","$0.00","$12,367.77","$12,195.93"
"Pardee Hospital","NORMAL NEWBORN","MS-DRG: 795","$1,804.15","$844.57","$1,723.07","$947.63","$0.00","$1,723.07","$1,082.49","$0.00","$1,333.10","$0.00","$0.00","$976.54","$844.57","$0.00","$0.00","$0.00"
"Pardee Hospital","OBSTETRICAL CARE,VAG DELIV ONLY","MS-DRG: 807","$7,249.95","$2,795.35","$5,798.75","$4,084.78","$4,854.90","$5,798.75","$4,349.97","$0.00","$5,746.39","$4,741.13","$4,832.55","$4,209.40","$2,795.35","$0.00","$4,555.85","$4,623.84"
"Pardee Hospital","Spinal fusion except cervical without major comorbid conditions or complications (MCC) ","MS-DRG: 460","$77,313.00","$19,535.00","$63,119.21","$44,867.87","$24,555.26","$35,571.27","$46,387.80","$0.00","$63,119.21","$24,275.33","$25,643.70","$46,236.72","$19,535.00","$0.00","$24,187.94","$24,476.96"
"Pardee Hospital","Uterine and adnexa procedures for non-malignancy without comorbid conditions (CC) or major comorbid conditions or complications (MCC) ","MS-DRG: 743","$28,160.18","$7,578.57","$22,030.68","$15,660.37","$7,732.61","$10,241.65","$16,896.11","$0.00","$22,030.68","$7,648.31","$7,929.89","$16,138.14","$8,466.04","$0.00","$7,607.60","$7,578.57"
"Pardee Hospital","HC PRDH PRIVATE ROOM","","$846.00","$0.00","$0.00","$0.00","$0.00","$0.00","$507.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH PRIVATE ROOM - MSO IN ED","","$846.00","$0.00","$0.00","$0.00","$0.00","$0.00","$507.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH PRIVATE ROOM - ORTHO IN ED","","$846.00","$0.00","$0.00","$0.00","$0.00","$0.00","$507.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH PRIVATE ROOM - W & C IN ED","","$846.00","$0.00","$0.00","$0.00","$0.00","$0.00","$507.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH  PSYCH PRIVATE ROOM","","$1,190.00","$0.00","$0.00","$0.00","$0.00","$0.00","$714.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH  PSYCH PRIVATE ROOM - IN ED","","$1,190.00","$0.00","$0.00","$0.00","$0.00","$0.00","$714.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH SEMI PRIVATE ROOM PSYCH","","$1,190.00","$0.00","$0.00","$0.00","$0.00","$0.00","$714.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH LEVEL 1 NURSERY ROOM","","$780.00","$0.00","$0.00","$0.00","$0.00","$0.00","$468.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH LEVEL 2 NURSERY ROOM","","$970.00","$0.00","$0.00","$0.00","$0.00","$0.00","$582.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH ICU ROOM","","$2,374.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,424.40","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH ED ICU ROOM","","$2,374.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,424.40","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH INTERMEDIATE CARE ROOM","","$1,220.00","$0.00","$0.00","$0.00","$0.00","$0.00","$732.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH INTERMEDIATE CARE ROOM - PCU IN ED","","$1,220.00","$0.00","$0.00","$0.00","$0.00","$0.00","$732.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRDH OBSERVATION CARE PER HOUR","G0378","$35.00","$15.96","$29.05","$20.30","$0.00","$18.33","$21.00","$15.96","$29.05","$0.00","$0.00","$19.53","$0.00","$26.85","$0.00","$0.00"
"Pardee Hospital","HC PRDH OBSERVATION CARE DIRECT ADMISSION","G0379","$115.00","$52.44","$492.04","$66.70","$115.00","$60.23","$69.00","$52.44","$95.45","$468.61","$492.04","$64.17","$468.61","$88.21","$115.00","$117.30"
"Pardee Hospital","HC PRDH OBSERVATION CARE - MSO IN ED","G0378","$35.00","$15.96","$29.05","$20.30","$0.00","$18.33","$21.00","$15.96","$29.05","$0.00","$0.00","$19.53","$0.00","$26.85","$0.00","$0.00"
"Pardee Hospital","HC PRDH OBSERVATION CARE - ORTHO IN ED","G0378","$35.00","$15.96","$29.05","$20.30","$0.00","$18.33","$21.00","$15.96","$29.05","$0.00","$0.00","$19.53","$0.00","$26.85","$0.00","$0.00"
