Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna NBD,BCBS,Cash Discount,Cigna,First Health,MedCost,TriCare,United,BCBS Note,TriCare Note
"Lenoir Memorial Hospital","CESAREAN DELIVERY ONLY","MS-DRG: 788","$18,121.11","$5,933.22","$10,386.00","","","$10,386.00","$10,872.67","","","","$5,933.22","","Case","Case"
"Lenoir Memorial Hospital","Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications (MCC). ","MS-DRG: 470","$45,351.56","$12,887.83","$20,156.42","","","$20,156.42","$27,210.94","","","","$12,887.83","","Case","Case"
"Lenoir Memorial Hospital","NORMAL NEWBORN","MS-DRG: 795","$2,042.55","$1,226.32","$1,385.00","","","$1,385.00","$1,225.53","","","","$1,226.32","","Per Diem","Case"
"Lenoir Memorial Hospital","OBSTETRICAL CARE,VAG DELIV ONLY","MS-DRG: 807","$6,310.26","$4,103.89","$5,500.00","","","$5,500.00","$3,786.16","","","","$4,103.89","","Case","Case"
"Lenoir Memorial Hospital","Uterine and adnexa procedures for non-malignancy without comorbid conditions (CC) or major comorbid conditions or complications (MCC) ","MS-DRG: 743","$33,071.05","$7,519.65","$11,760.64","","","$11,760.64","$19,842.63","","","","$7,519.65","","Case","Case"
"Lenoir Memorial Hospital","ANES ABD LOW ANTERIOR","800","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES ABD LOW ANTERIOR","800","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES ABD LOW CESAREAN SECTION","1961","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES ABD LOW CESAREAN SECTION","1961","$15.00","$10.27","$15.00","$13.35","$13.95","$10.27","$9.00","$13.00","$13.35","$13.50","$15.00","$12.75","",""
"Lenoir Memorial Hospital","ANES ABD LOW EXTRAPERITONEAL","860","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES ABD LOW EXTRAPERITONEAL","860","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES ABD LOW HERNIA REPAIR","830","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES ABD LOW HERNIA REPAIR","830","$14.00","$9.58","$14.00","$12.46","$13.02","$9.58","$8.40","$12.14","$12.46","$12.60","$14.00","$11.90","",""
"Lenoir Memorial Hospital","ANES ABD LOW HERNIA VENT INCIS","832","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES ABD LOW HERNIA VENT INCIS","832","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES ABD LOW INTRAPERITONEAL","840","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES ABD LOW INTRAPERITONEAL","840","$18.00","$12.32","$18.00","$16.02","$16.74","$12.32","$10.80","$15.61","$16.02","$16.20","$18.00","$15.30","",""
"Lenoir Memorial Hospital","ANES ABD LOW POSTERIOR","820","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES ABD LOW POSTERIOR","820","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES ABD LOW PROSTATECTOMY","865","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES ABD LOW PROSTATECTOMY","865","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES ABD LOW RENAL UPP 1/3 UR","862","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES ABD LOW RENAL UPP 1/3 UR","862","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES ABD UPP BLOOD VESS ALL","770","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES ABD UPP BLOOD VESS ALL","770","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","ANES ABD UPP BOWEL SHUNTS","790","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES ABD UPP BOWEL SHUNTS","790","$18.00","$12.32","$18.00","$16.02","$16.74","$12.32","$10.80","$15.61","$16.02","$16.20","$18.00","$15.30","",""
"Lenoir Memorial Hospital","ANES ABD UPP HERNIA REPAIR","756","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES ABD UPP HERNIA REPAIR","756","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","ANES ABD UPP HERNIA REPAIRS","750","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES ABD UPP HERNIA REPAIRS","750","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES ABD UPP WALL POSTERIOR","730","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES ABD UPP WALL POSTERIOR","730","$19.00","$13.00","$19.00","$16.91","$17.67","$13.00","$11.40","$16.47","$16.91","$17.10","$19.00","$16.15","",""
"Lenoir Memorial Hospital","ANES CHEST ANT INTEGU SYSTEM","400","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES CHEST ANT INTEGU SYSTEM","400","$15.00","$10.27","$15.00","$13.35","$13.95","$10.27","$9.00","$13.00","$13.35","$13.50","$15.00","$12.75","",""
"Lenoir Memorial Hospital","ANES CHEST BREAST RAD PROC","404","$11.00","$7.53","$11.00","$9.79","$10.23","$7.53","$6.60","$9.54","$9.79","$9.90","$11.00","$9.35","",""
"Lenoir Memorial Hospital","ANES CHEST CLAVICLE & SCAPULA","450","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES CHEST CLAVICLE & SCAPULA","450","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES CHEST POSTERIOR INTEG SYS","300","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES CHEST POSTERIOR INTEG SYS","300","$11.00","$7.53","$11.00","$9.79","$10.23","$7.53","$6.60","$9.54","$9.79","$9.90","$11.00","$9.35","",""
"Lenoir Memorial Hospital","ANES CHEST RIB PART RESECTION","470","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES CHEST RIB PART RESECTION","470","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES FOREAREM WRT HD INTEG SYS","400","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES FOREAREM WRT HD INTEG SYS","400","$15.00","$10.27","$15.00","$13.35","$13.95","$10.27","$9.00","$13.00","$13.35","$13.50","$15.00","$12.75","",""
"Lenoir Memorial Hospital","ANES FOREARM WRT HAND ARTERIES","1840","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES FOREARM WRT HAND ARTERIES","1840","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
