Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Anthem HMO,Anthem PPO,BCBS PPO/HMO/Blue Select/Blue Value/POS,Care N Care,Cash Discount,CIGNA,First Health,Humana,Humana Medicare Advantage,MedCost,UHC,UHC Medicare Advantage,Care N Care Note,UHC Note,Aetna Medicare Advantage Note,Anthem HMO Note,Anthem PPO Note,BCBS PPO/HMO/Blue Select/Blue Value/POS Note,Humana Medicare Advantage Note,UHC Medicare Advantage Note
"Rockingham Hospital"," DG KNEE STANDING AP BILAT","73565","$271.00","$63.85","$202.98","$202.98","$81.41","$148.86","$154.20","$178.83","$63.85","$162.60","$162.87","$202.98","$189.70","$79.81","$184.55","$189.70","$81.81","","","","","","","",""
"Rockingham Hospital"," VALPROIC ACID","80164","$126.00","$19.40","$94.37","$94.37","$0.00","$69.21","$71.69","$64.11","$0.00","$75.60","$75.73","$94.37","$88.20","$0.00","$85.81","$19.40","$0.00","","","","","","","",""
"Rockingham Hospital"," VALPROIC ACID","80164","$149.00","$10.83","$111.60","$111.60","$13.81","$81.85","$84.78","$75.81","$10.83","$89.40","$89.55","$111.60","$104.30","$13.54","$101.47","$19.40","$13.88","","","","","","","",""
"Rockingham Hospital"," LOWER ART DOPPLER PHYSIO COMP","93923","$538.00","$110.68","$402.96","$402.96","$141.12","$295.52","$306.12","$361.54","$110.68","$322.80","$323.34","$402.96","$376.60","$138.35","$366.38","","$141.81","","","","","","","",""
"Rockingham Hospital"," UPPER ART DOPLR PHYSIO COMP","93923","$544.00","$110.68","$407.46","$407.46","$141.12","$298.82","$309.54","$365.57","$110.68","$326.40","$326.94","$407.46","$380.80","$138.35","$370.46","","$141.81","","","","","","","",""
"Rockingham Hospital"," VAS LAB-LOWER EXT PER.ARTERIES","93923","$604.00","$110.68","$452.40","$452.40","$141.12","$331.78","$343.68","$405.89","$110.68","$362.40","$363.00","$452.40","$422.80","$138.35","$411.32","","$141.81","","","","","","","",""
"Rockingham Hospital"," HEPATITIS B SUPER QUANT","87517","$657.00","$34.27","$492.09","$492.09","$43.70","$360.89","$373.83","$334.28","$34.27","$394.20","$394.86","$492.09","$459.90","$42.84","$447.42","$61.35","$43.91","","","","","","","",""
"Rockingham Hospital"," MYOCARDIAL PERFUSION IMAGE","78453","$2,590.00","$1,017.75","$1,939.91","$1,939.91","$1,297.63","$1,422.69","$1,473.71","$1,480.44","$1,017.75","$1,554.00","$1,556.59","$1,939.91","$1,813.00","$1,272.19","$1,763.79","$1,813.00","$1,303.99","","","","","","","",""
"Rockingham Hospital"," INTERPRETATION AND REPORT","83912","$132.00","$67.16","$98.87","$98.87","$0.00","$72.51","$75.11","$67.16","$0.00","$79.20","$79.33","$98.87","$92.40","$0.00","$89.89","","$0.00","","","","","","","",""
"Rockingham Hospital"," DG TMJ OPEN & CLOSE BILAT","70330","$357.00","$63.85","$267.39","$267.39","$81.41","$196.10","$203.13","$235.58","$63.85","$214.20","$214.56","$267.39","$249.90","$79.81","$243.12","$249.90","$81.81","","","","","","","",""
"Rockingham Hospital"," RESP PATHOGEN PANEL 20 TARGETS","0099U","$715.00","$363.79","$535.53","$535.53","$0.00","$392.75","$406.83","$363.79","$0.00","$429.00","$429.71","$535.53","$500.50","$0.00","$486.92","$0.00","$0.00","","","","","","","",""
"Rockingham Hospital"," INSULIN","83525","$126.00","$16.38","$94.37","$94.37","$0.00","$69.21","$71.69","$64.11","$0.00","$75.60","$75.73","$94.37","$88.20","$0.00","$85.81","$16.38","$0.00","","","","","","","",""
"Rockingham Hospital"," INSULIN","83525","$84.00","$16.38","$62.92","$62.92","$0.00","$46.14","$47.80","$42.74","$0.00","$50.40","$50.48","$62.92","$58.80","$0.00","$57.20","$16.38","$0.00","","","","","","","",""
"Rockingham Hospital"," ER 1ST DEGREE BURN TREATMENT","16000","$239.00","$131.28","$179.10","$179.01","$178.22","$131.28","$135.99","$134.01","$139.78","$143.40","$143.64","$179.01","$167.30","$174.73","$162.76","","$179.10","","","","","","","",""
"Rockingham Hospital"," ER FOREIGN BODY REMOVAL DEEP","24201","$2,063.00","$1,133.21","$2,376.86","$1,545.19","$2,365.27","$1,133.21","$1,173.85","$1,156.72","$1,855.11","$1,237.80","$1,239.86","$1,545.19","$1,444.10","$2,318.89","$1,404.90","","$2,376.86","","","","","","","",""
"Rockingham Hospital"," VOLUME VENTILATOR-INITIAL","94002","$1,524.00","$371.62","$1,141.48","$1,141.48","$473.82","$837.13","$867.16","$1,024.13","$371.62","$914.40","$915.92","$1,141.48","$1,066.80","$464.53","$1,037.84","$1,066.80","$476.14","","","","","","","",""
"Rockingham Hospital"," PROLACTIN","84146","$197.00","$27.76","$147.55","$147.55","$0.00","$108.21","$112.09","$100.23","$0.00","$118.20","$118.40","$147.55","$137.90","$0.00","$134.16","$27.76","$0.00","","","","","","","",""
"Rockingham Hospital"," PROLACTIN","84146","$136.00","$15.50","$101.86","$101.86","$19.77","$74.70","$77.38","$69.20","$15.50","$81.60","$81.74","$101.86","$95.20","$19.38","$92.62","$27.76","$19.86","","","","","","","",""
"Rockingham Hospital"," ED I&D UPPER ARM-ELBOW; BURSA","23931","$2,751.00","$1,098.08","$2,060.50","$2,060.50","$1,400.05","$1,511.12","$1,565.32","$1,542.49","$1,098.08","$1,650.60","$1,653.35","$2,060.50","$1,925.70","$1,372.60","$1,873.43","","$1,406.91","","","","","","","",""
"Rockingham Hospital"," FACTOR V LEIDEN","81241","$512.00","$58.70","$383.49","$383.49","$74.84","$281.24","$291.33","$260.51","$58.70","$307.20","$307.71","$383.49","$358.40","$73.37","$348.67","$83.37","$75.20","","","","","","","",""
"Rockingham Hospital"," EVAL SP PROD W LANGUAGE COMP","92523","$284.00","$126.92","$212.72","$212.72","$0.00","$156.00","$161.60","$126.92","$0.00","$170.40","$170.68","$212.72","$198.80","$0.00","$193.40","","$0.00","","","","","","","",""
"Rockingham Hospital"," ORGANISM ID YEAST","87106","$136.00","$8.26","$101.86","$101.86","$10.53","$74.70","$77.38","$69.20","$8.26","$81.60","$81.74","$101.86","$95.20","$10.32","$92.62","$14.79","$10.58","","","","","","","",""
"Rockingham Hospital"," CONSULT REPORT W SLIDE PREP","88323","$125.00","$35.73","$93.63","$93.63","$50.46","$68.66","$71.13","$89.09","$39.58","$75.00","$75.13","$93.63","$87.50","$49.47","$85.13","$35.73","$50.71","","","","","","","",""
"Rockingham Hospital"," MERCURY BLOOD","83825","$230.00","$23.29","$172.27","$172.27","$0.00","$126.34","$130.87","$117.02","$0.00","$138.00","$138.23","$172.27","$161.00","$0.00","$156.63","$23.29","$0.00","","","","","","","",""
"Rockingham Hospital"," MERCURY QUANTITATIVE","83825","$179.00","$23.29","$134.07","$134.07","$0.00","$98.32","$101.85","$91.08","$0.00","$107.40","$107.58","$134.07","$125.30","$0.00","$121.90","$23.29","$0.00","","","","","","","",""
"Rockingham Hospital"," MERCURY","83825","$81.00","$23.29","$60.67","$60.67","$0.00","$44.49","$46.09","$41.21","$0.00","$48.60","$48.68","$60.67","$56.70","$0.00","$55.16","$23.29","$0.00","","","","","","","",""
"Rockingham Hospital"," DEVELOPMENTAL TESTING LIM-RPT","96110","$427.00","$190.83","$319.82","$319.82","$0.00","$234.55","$242.96","$190.83","$0.00","$256.20","$256.63","$319.82","$298.90","$0.00","$290.79","","$0.00","","","","","","","",""
"Rockingham Hospital"," DEVELOPMENTAL TEST W/RPT LTD","96110","$433.00","$193.51","$324.32","$324.32","$0.00","$237.85","$246.38","$193.51","$0.00","$259.80","$260.23","$324.32","$303.10","$0.00","$294.87","","$0.00","","","","","","","",""
"Rockingham Hospital"," ED TX PROXIMAL HUMERAL FX","23605","$4,646.00","$1,084.31","$3,479.85","$3,479.85","$1,382.50","$2,552.05","$2,643.57","$2,605.01","$1,084.31","$2,787.60","$2,792.25","$3,479.85","$3,252.20","$1,355.39","$3,163.93","","$1,389.27","","","","","","","",""
"Rockingham Hospital"," SMALL INTESTINE PROCEDURE","44799","$4,962.00","$628.74","$3,716.54","$3,716.54","$801.64","$2,725.63","$2,823.38","$2,782.19","$628.74","$2,977.20","$2,982.16","$3,716.54","$3,473.40","$785.92","$3,379.12","","$805.57","","","","","","","",""
"Rockingham Hospital"," FREE LIGHT CHAINS","83883","$168.00","$19.47","$125.83","$125.83","$0.00","$92.28","$95.59","$85.48","$0.00","$100.80","$100.97","$125.83","$117.60","$0.00","$114.41","$19.47","$0.00","","","","","","","",""
"Rockingham Hospital"," FREE LIGHT CHAINS 2","83883","$167.00","$19.47","$125.08","$125.08","$0.00","$91.73","$95.02","$84.97","$0.00","$100.20","$100.37","$125.08","$116.90","$0.00","$113.73","$19.47","$0.00","","","","","","","",""
